cidade;UF;cod_ibge;ICE;ambiente_regulatorio;infraestrutura;mercado;acesso_capital;inovacao;capital_humano;cultura_empreendedora
São Paulo;SP;3550308;9.51;7.97;9.76;7.70;11.33;7.22;5.82;5.54
Florianópolis;SC;4205407;8.12;6.60;7.15;6.19;8.43;8.52;8.88;5.26
Osasco;SP;3534401;7.94;7.01;6.93;7.55;10.06;6.27;5.94;5.96
Vitória;ES;3205309;7.91;8.90;5.65;6.20;7.32;7.26;8.05;4.33
Brasília;DF;5300108;7.58;4.14;7.35;8.30;6.82;6.39;6.56;3.95
São José dos Campos;SP;3549904;7.54;7.14;6.71;8.13;5.74;7.56;6.98;5.95
São Bernardo do Campo;SP;3548708;7.52;6.63;8.13;7.18;6.11;7.67;6.40;5.90
Jundiaí;SP;3525904;7.46;6.39;7.48;8.64;6.04;6.52;7.31;6.46
Porto Alegre;RS;4314902;7.43;5.88;6.06;6.58;9.40;7.66;6.14;5.63
Rio de Janeiro;RJ;3304557;7.40;7.31;5.12;6.48;8.89;7.27;6.47;5.35
Curitiba;PR;4106902;7.40;5.89;6.93;6.37;8.24;7.84;7.32;5.97
Campinas;SP;3509502;7.28;5.58;7.04;7.33;6.24;8.09;6.88;5.76
Limeira;SP;3526902;7.24;5.83;8.23;6.33;5.75;7.85;7.08;5.51
Belo Horizonte;MG;3106200;7.16;6.01;6.14;5.56;8.47;7.22;7.29;4.95
Niterói;RJ;3303302;7.15;7.70;5.88;6.58;6.17;7.50;7.53;5.78
Joinville;SC;4209102;7.10;6.57;6.34;6.97;5.84;7.97;6.79;5.73
Blumenau;SC;4202404;6.87;5.83;6.68;6.86;5.98;7.07;6.16;5.26
Mauá;SP;3529401;6.86;6.67;6.94;8.02;5.48;5.72;4.76;5.51
Boa Vista;RR;1400100;6.74;7.77;5.60;6.88;5.64;5.10;6.08;4.46
Canoas;RS;4304606;6.72;5.84;5.77;8.42;5.63;6.70;4.66;5.63
Ribeirão Preto;SP;3543402;6.70;5.99;6.84;6.50;6.37;6.70;6.51;5.89
Sorocaba;SP;3552205;6.70;5.47;7.31;6.59;5.81;7.10;6.66;5.93
Santo André;SP;3547809;6.69;7.04;7.14;6.08;5.91;6.20;7.08;5.99
Santos;SP;3548500;6.67;5.62;7.42;7.15;6.56;5.24;7.10;6.20
Diadema;SP;3513801;6.65;5.72;6.37;7.88;5.61;6.97;5.61;6.27
Mogi das Cruzes;SP;3530607;6.60;6.10;7.39;6.74;5.72;5.73;6.96;5.98
Franca;SP;3516200;6.59;6.34;7.50;6.13;5.90;5.58;6.64;5.51
Piracicaba;SP;3538709;6.56;4.86;7.16;6.60;6.03;6.80;6.47;5.69
Caxias do Sul;RS;4305108;6.54;5.83;5.50;6.61;5.99;8.21;5.95;5.89
Uberlândia;MG;3170206;6.46;6.60;5.84;6.01;5.93;6.27;7.02;5.26
Guarulhos;SP;3518800;6.44;5.20;7.39;7.14;5.60;5.81;5.10;5.51
Suzano;SP;3552502;6.42;6.55;7.22;6.26;5.52;5.37;6.11;5.51
Maringá;PR;4115200;6.41;5.87;6.68;6.25;6.07;6.94;7.00;6.54
Vila Velha;ES;3205200;6.37;6.06;6.00;5.05;6.79;5.51;7.24;4.36
Bauru;SP;3506003;6.32;6.41;6.02;6.01;5.95;6.27;7.00;5.80
Santa Maria;RS;2409332;6.32;5.85;5.71;5.57;5.91;7.18;7.33;5.39
Recife;PE;2611606;6.32;5.16;9.43;5.25;6.28;7.07;7.06;7.87
Duque de Caxias;RJ;3301702;6.31;6.69;5.98;7.09;5.45;5.38;5.14;5.42
Taboão da Serra;SP;3552809;6.30;5.34;6.60;7.18;5.48;5.91;5.26;5.51
Cascavel;PR;4104808;6.30;6.58;6.07;5.53;5.91;6.59;7.16;5.78
São José dos Pinhais;PR;4125506;6.28;5.28;5.95;6.92;5.53;7.21;5.36;5.78
