CodMun;reducao_iptu;isencao_iptu;reducao_issqn;isencao_issqn;isencao_taxas;cessao_terrenos;doacao_terrenos;outros
1100155;Não;Sim;Não;Não;Não;Sim;Não;Não
1100189;Sim;Sim;Não;Não;Não;Sim;Sim;Não
1100205;Não;Não;Sim;Não;Não;Sim;Não;Não
1100254;Não;Não;Não;Não;Não;Não;Não;Sim
1100262;Sim;Sim;Não;Não;Sim;Não;Sim;Não
1200385;Sim;Não;Não;Não;Sim;Não;Não;Não
1200393;Não;Não;Não;Sim;Não;Não;Não;Não
1200401;Não;Sim;Não;Não;Não;Não;Não;Não
1200427;-;-;-;-;-;-;-;-
1200435;-;-;-;-;-;-;-;-
1200450;Sim;Não;Sim;Não;Não;Não;Não;Não
1200500;Não;Sim;Não;Sim;Sim;Não;Não;Sim
1200609;-;-;-;-;-;-;-;-
1200708;Sim;Sim;Não;Não;Não;Não;Não;Não
1200807;Não;Não;Não;Não;Sim;Não;Não;Não
1302603;Não;Sim;Não;Não;Sim;Não;Sim;Não
1300680;Sim;Não;Não;Não;Não;Não;Sim;Não
1300706;Não;Não;Não;Não;Não;Não;Não;Sim
1400027;Não;Não;Não;Não;Sim;Não;Não;Não
1400050;Sim;Sim;Não;Não;Sim;Sim;Não;Não
1400100;Não;Sim;Não;Não;Sim;Não;Não;Sim
1500800;Sim;Sim;Sim;Não;Não;Não;Não;Não
1500206;Sim;Sim;Não;Não;Sim;Não;Não;Não
1500305;Não;Não;Não;Não;Não;Sim;Não;Sim
1501402;Sim;Sim;Sim;Não;Não;Não;Não;Não
1506807;Sim;Sim;Não;Não;Sim;Não;Não;Não
1600279;Não;Sim;Não;Não;Não;Sim;Não;Sim
1600303;Sim;Sim;Não;Sim;Sim;Não;Não;Sim
2111300;Sim;Não;Sim;Não;Sim;Não;Não;Não
2111409;Não;Não;Não;Não;Não;Não;Não;Sim
2111508;Sim;Sim;Sim;Sim;Sim;Não;Não;Não
2211001;Não;Sim;Sim;Não;Sim;Sim;Sim;Não
2200608;Não;Sim;Não;Sim;Sim;Sim;Sim;Não
2303659;Sim;Não;Não;Não;Não;Não;Não;Sim
2303709;Sim;Não;Sim;Não;Não;Sim;Sim;Sim
2304350;Não;Não;Não;Sim;Não;Sim;Sim;Não
2304400;Sim;Sim;Sim;Não;Sim;Não;Não;Sim
2408003;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não
2408102;Sim;Não;Sim;Não;Sim;Não;Não;Não
2409332;Sim;Não;Sim;Não;Sim;Sim;Não;Não
2503753;Não;Não;Sim;Não;Sim;Não;Não;Não
2504009;Sim;Não;Sim;Não;Não;Não;Não;Sim
2507507;Não;Sim;Sim;Não;Não;Não;Não;Não
2507705;Não;Não;Não;Não;Não;Sim;Sim;Não
2604007;Sim;Não;Não;Sim;Não;Não;Não;Não
2604106;Não;Sim;Sim;Não;Sim;Não;Não;Sim
2607901;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim
2607950;Sim;Não;Sim;Não;Sim;Não;Sim;Não
2609600;Não;Sim;Não;Não;Sim;Não;Não;Não
2610608;Sim;Sim;Sim;Não;Não;Não;Não;Não
2610707;Sim;Sim;Sim;Não;Sim;Não;Não;Não
2611101;Não;Sim;Não;Não;Sim;Não;Não;Não
2611606;Sim;Sim;Sim;Sim;Sim;Não;Não;Não
2704203;Não;Sim;Não;Não;Sim;Não;Não;Não
2704302;Sim;Não;Sim;Não;Sim;Não;Não;Não
2800308;Não;Sim;Sim;Não;Não;Não;Não;Não
2800407;Não;Sim;Não;Sim;Não;Sim;Não;Sim
2905602;Não;Sim;Não;Não;Não;Sim;Não;Não
2905701;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não
2910800;Sim;Sim;Sim;Não;Não;Não;Não;Não
2927309;Sim;Sim;Não;Não;Sim;Não;Sim;Não
2927408;Sim;Não;Sim;Sim;Sim;Não;Não;Sim
2933307;-;-;-;-;-;-;-;-
3106200;Sim;Não;Sim;Não;Não;Não;Não;Não
3106309;Não;Não;Sim;Não;Não;Não;Não;Não
3106655;Não;Não;Não;Não;Não;Sim;Não;Não
3106705;Sim;Não;Não;Não;Não;Não;Não;Não
3118601;Sim;Não;Sim;Não;Sim;Sim;Sim;Não
3136702;Sim;Não;Não;Não;Não;Não;Não;Não
3143302;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não
3143401;Não;Sim;Não;Sim;Sim;Não;Não;Não
3154606;Não;Sim;Não;Sim;Sim;Não;Sim;Sim
3170107;Não;Sim;Não;Sim;Não;Sim;Sim;Não
3170206;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim
3201209;Sim;Não;Sim;Não;Não;Não;Não;Não
3201308;Sim;Sim;Sim;Não;Não;Não;Não;Não
3205002;Sim;Sim;Sim;Sim;Sim;Não;Não;Não
3205176;Não;Não;Sim;Não;Não;Não;Sim;Não
3205200;Sim;Sim;Sim;Sim;Não;Não;Não;Não
3205309;Sim;Sim;Sim;Não;Sim;Não;Não;Não
3300456;Não;Não;Não;Não;Não;Não;Não;Sim
3300506;Não;Sim;Não;Não;Não;Não;Não;Não
3301009;Não;Sim;Sim;Sim;Sim;Não;Não;Não
3301108;Não;Não;Não;Sim;Sim;Não;Não;Não
3301702;Não;Sim;Sim;Não;Não;Não;Não;Não
3301801;Sim;Não;Não;Não;Não;Não;Não;Não
3303302;Não;Não;Sim;Não;Sim;Não;Não;Não
3303401;Sim;Sim;Não;Não;Sim;Não;Não;Sim
3303500;Não;Não;Não;Sim;Não;Não;Não;Sim
3303609;Não;Não;Sim;Não;Não;Sim;Não;Não
3303906;Sim;Sim;Sim;Não;Sim;Não;Não;Não
3303955;Não;Sim;Sim;Não;Não;Sim;Não;Não
3304524;Não;Sim;Sim;Não;Sim;Sim;Não;Não
3304557;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não
3304904;-;-;-;-;-;-;-;-
3305000;Sim;Sim;Sim;Sim;Não;Não;Não;Não
